battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1123,1,2.5,1,6,1,15,0.3,132,2,19,693,1128,2539,10,7,11,1,0,1,1
788,0,2.3,1,8,1,39,0.8,96,7,4,1664,1371,3152,15,13,16,1,1,1,2
540,1,2.2,0,5,1,10,0.2,168,1,16,435,1733,3467,15,9,11,1,1,1,3
667,0,2.8,1,2,0,40,0.4,171,1,4,799,818,1243,15,6,2,1,0,1,0
781,1,1.3,0,8,0,20,0.5,171,3,17,1189,1273,895,7,0,9,1,1,0,1
1370,0,1.1,0,4,1,48,0.4,124,3,9,361,1372,2418,10,1,12,1,0,1,2
640,0,2.7,1,0,0,12,0.6,184,6,2,1094,762,3869,14,15,3,0,0,0,3
1100,1,2.2,1,14,1,4,0.1,157,7,11,1311,1890,902,13,9,10,1,0,1,0
1838,0,1.6,0,1,0,57,0.9,91,1,1,1272,1481,1903,13,1,7,1,1,0,1
1882,1,1.6,1,13,1,57,0.4,90,1,19,655,659,1523,6,1,15,1,1,0,2
1812,0,2.9,0,0,0,8,0.7,157,1,4,1590,1979,3474,5,9,4,1,0,1,3
1539,0,1.9,1,14,0,48,0.6,108,2,19,1036,1133,814,18,14,9,0,0,1,0
1922,1,2.9,1,16,0,49,0.2,179,7,11,1682,1083,2204,16,17,7,1,0,0,1
696,0,1.3,1,13,1,28,0.8,174,3,11,1215,831,3205,8,5,6,1,1,1,2
1638,1,2.1,1,6,0,8,0.4,80,5,14,880,1450,3460,11,5,6,0,1,0,3
1691,0,1.8,0,1,1,48,0.4,154,5,15,1121,551,504,15,0,15,1,0,1,0
1130,1,2.5,1,4,0,23,0.2,114,6,9,293,790,2736,7,0,15,0,1,1,1
957,0,0.6,1,10,0,48,0.4,140,7,16,660,867,3296,8,13,19,0,1,0,2
1354,1,0.9,1,16,1,17,0.3,88,2,1,1852,1711,2721,9,5,5,1,0,1,3
1741,0,1.7,0,17,0,19,0.7,125,5,17,1202,800,918,14,15,17,0,0,0,0
673,0,2.1,1,1,0,7,0.6,132,6,17,65,1813,2583,5,10,8,0,1,0,1
1767,1,2.3,1,10,1,47,0.4,128,1,19,1574,1858,2255,10,7,6,1,1,1,2
1365,0,1.7,1,1,0,25,0.5,167,1,3,1743,1784,3990,18,3,17,1,1,1,3
1760,0,0.7,1,0,1,36,0.1,126,5,13,1085,1895,1520,14,15,5,1,1,0,0
1121,1,2.4,1,14,1,24,0.2,119,6,13,633,1937,1231,5,5,3,1,1,1,1
1117,1,2.4,0,10,0,4,0.7,119,1,5,757,1827,3831,15,8,9,1,1,1,2
867,1,1,1,10,1,7,0.9,158,3,1,1833,1433,2472,11,6,16,1,0,1,3
669,0,0.6,0,7,0,38,0.2,133,6,3,17,512,1409,8,16,8,0,1,1,0
1976,1,1.1,0,12,0,4,0.5,116,7,11,780,1085,672,7,9,5,1,1,1,1
1335,0,1.2,0,7,1,62,0.5,137,3,10,1688,1013,1758,8,7,18,1,0,0,2
1145,1,3,0,1,1,26,0.2,171,4,11,699,965,2542,14,16,11,1,1,0,3
1294,1,3,1,14,1,7,0.5,193,3,5,1133,513,688,12,8,4,1,0,0,0
1266,1,2.7,1,3,0,43,0.4,172,6,6,328,1414,1921,18,16,15,1,0,1,1
1781,0,2.8,1,12,1,28,0.6,123,1,14,251,1240,2390,5,0,17,1,0,1,2
1307,0,2.6,1,4,1,55,0.5,184,2,13,359,524,3735,6,7,16,1,1,1,3
1739,0,2.1,0,18,0,11,1,94,4,18,763,1344,900,9,9,4,1,1,0,0
1650,1,0.9,1,11,1,34,0.9,131,1,12,348,1204,2465,13,0,11,1,0,0,1
822,1,0.8,1,8,1,21,0.2,98,3,10,1720,1859,3160,9,10,16,1,0,1,2
1501,0,2,0,9,0,40,1,117,1,17,1499,1321,2567,11,17,8,1,1,0,3
1557,1,1.7,0,0,0,6,0.8,134,4,6,279,708,493,9,11,4,1,1,1,0
1194,1,1,1,5,0,43,0.7,143,7,12,1432,1902,1125,17,8,7,0,1,0,1
1783,1,1.6,1,7,0,14,0.9,107,2,15,1521,697,3743,8,4,18,1,0,1,2
1238,0,1.2,1,17,0,27,0.9,83,2,7,1186,1511,3927,5,5,6,0,1,0,3
1052,1,2.7,1,0,0,3,0.8,97,6,17,135,677,921,9,13,3,0,1,1,0
1001,1,1,1,11,0,44,0.4,114,7,11,1290,1040,1051,11,15,12,1,0,1,1
1446,0,0.7,1,13,1,51,0.2,144,7,1,972,1110,3301,17,14,14,1,0,0,2
1697,0,0.5,1,10,1,57,0.6,114,2,11,1415,590,3052,10,1,15,1,1,0,3
1171,0,2.7,1,17,0,54,0.6,140,2,7,1548,1113,1491,8,9,7,0,1,1,0
1763,0,2.8,0,16,0,22,0.5,160,3,4,1170,1615,1391,13,10,10,0,0,0,1
734,1,1.7,0,1,1,37,0.9,81,2,9,1633,1389,2302,14,1,4,1,1,0,2
1690,1,1,1,4,1,16,0.8,81,4,3,192,1522,2259,8,16,4,1,0,0,3
1550,1,2.5,0,3,1,52,0.1,136,5,16,1327,525,1738,18,9,16,1,1,0,0
1118,1,0.6,0,3,1,46,0.1,98,6,2,1280,1050,2600,7,7,4,1,1,0,1
1786,0,0.6,0,2,1,5,0.3,151,4,12,82,1547,3540,11,11,7,1,0,0,2
806,0,1.1,0,14,1,49,1,166,3,16,613,568,3208,16,12,6,1,1,1,3
890,1,1.9,0,16,0,6,0.4,183,2,18,992,836,1819,17,6,2,0,1,0,0
738,1,2.1,0,5,0,7,0.7,87,1,19,317,861,1245,14,0,13,1,0,0,1
1167,1,1.9,0,14,0,42,0.5,89,5,19,1086,521,2110,17,15,13,0,0,0,2
1781,0,2.9,1,12,1,53,0.4,197,6,0,411,1802,2772,8,12,5,1,0,1,3
862,0,1.9,1,10,1,34,0.5,165,4,9,1090,1428,1819,9,4,13,1,1,0,0
1969,0,2.8,1,2,0,21,0.3,125,2,0,430,1421,1744,5,1,5,1,1,0,1
1927,1,0.5,0,14,1,35,0.9,92,3,4,1453,1886,3071,12,14,4,1,1,1,2
1452,1,2.5,1,14,0,5,0.9,124,6,15,246,633,3595,14,7,3,0,1,1,3
1584,0,0.6,1,0,0,29,1,101,1,19,1059,1119,766,18,3,15,0,0,1,0
931,1,1.3,0,16,1,40,0.7,158,6,17,357,850,1016,10,14,2,1,1,0,1
1139,1,2,1,7,0,14,0.6,156,2,0,361,1670,2605,10,12,12,1,1,0,2
836,1,2.5,0,13,1,57,0.6,165,3,2,30,1236,3462,7,10,13,1,1,0,3
1647,0,1.6,1,10,1,47,0.3,175,6,1,17,1094,1748,15,17,19,1,0,1,0
1237,1,0.6,0,11,0,15,0.8,91,3,1,732,1703,2562,10,17,18,1,1,1,1
1130,1,1.8,0,1,0,61,0.7,93,2,5,1205,1921,1378,9,13,2,0,0,0,2
1627,1,1.1,1,6,0,41,0.5,194,1,7,1008,1175,3538,18,3,17,1,1,0,3
855,1,1.2,0,14,0,54,0.8,91,1,13,1332,1723,1570,12,11,12,0,0,0,0
898,0,2.3,1,10,0,57,0.2,131,5,17,1675,993,2395,11,4,19,0,1,1,1
1372,1,1.3,0,3,1,43,1,165,6,17,1275,1839,1959,15,1,8,1,0,0,2
1471,0,1.8,1,14,0,9,0.3,95,4,14,1291,995,3720,10,3,6,0,1,1,3
1067,1,2.4,1,16,0,4,0.4,81,5,19,1591,698,1283,8,17,7,0,0,0,0
1629,0,1.4,1,7,0,23,0.7,175,1,10,1059,691,1642,13,11,13,0,0,0,1
571,0,1,0,13,0,3,0.3,175,3,3,1855,1326,1666,10,4,2,0,0,0,2
1534,1,1.2,1,11,0,19,0.2,121,3,10,1585,903,2388,16,5,17,0,0,1,3
519,0,0.9,0,9,1,52,0.1,113,5,14,973,1629,927,5,1,17,1,0,1,0
1125,1,2.1,0,15,1,23,0.6,114,5,18,1174,757,2565,11,2,7,1,1,1,1
717,1,1.3,1,10,1,30,0.5,138,7,0,450,1708,1667,7,12,8,1,1,1,2
1714,1,2.8,1,1,0,23,0.2,125,5,7,1161,1253,3091,14,4,6,0,1,0,3
1102,1,1.4,0,11,1,58,0.3,150,2,8,1192,1206,274,9,13,4,1,0,1,0
1771,1,1.9,0,11,0,18,0.2,84,4,5,1157,1585,2742,5,12,13,1,0,1,1
705,1,0.8,0,15,0,29,0.4,120,3,4,440,1934,1228,10,6,7,1,0,0,2
1317,1,1,0,14,1,56,0.3,193,4,4,353,913,3129,6,0,4,1,1,0,3
1890,0,2.9,0,16,1,47,0.2,109,4,9,1832,847,396,5,17,16,1,0,0,0
928,1,1.4,1,5,1,47,0.9,178,3,4,232,990,1590,9,8,17,1,1,0,1
1509,0,0.7,1,17,1,47,0.5,99,2,11,1377,1930,1743,5,2,3,1,0,0,2
1940,0,0.6,1,8,0,48,0.2,81,3,13,641,851,2782,14,9,12,1,0,1,3
1667,0,2.2,0,9,0,41,0.9,163,4,8,1182,668,798,17,4,2,1,1,1,0
1515,0,1,1,6,1,51,0.3,90,2,2,1629,1373,2583,7,15,17,1,0,0,1
1757,0,2.7,0,8,0,56,0.6,113,6,15,1115,1310,2615,13,14,6,0,0,1,2
901,0,1.8,1,12,1,11,0.3,144,7,5,685,1371,3028,5,10,6,1,0,0,3
1720,0,2.6,0,15,1,60,0.7,109,5,15,1098,1792,1210,15,8,15,1,0,1,0
1261,0,1.4,0,14,0,60,0.3,153,3,3,10,903,652,11,7,13,1,0,0,1
1232,1,1.1,1,4,1,38,0.9,179,1,1,1071,1845,1747,12,10,15,1,1,1,2
1050,1,0.8,0,6,0,23,0.2,194,1,8,1318,1438,2697,7,15,5,1,1,1,3
1326,1,2.2,0,2,1,22,1,195,4,9,1460,1715,1910,15,17,6,1,1,0,0
1339,1,0.9,0,8,1,2,0.6,138,1,13,644,1509,1463,17,6,19,1,0,1,1
1303,0,2.8,0,17,0,60,0.7,103,3,6,669,592,2441,5,8,19,1,1,0,2
1190,0,2.8,1,0,1,26,1,106,7,3,1255,1492,2633,5,1,2,1,0,1,3
897,0,2.3,0,5,0,39,0.8,190,7,0,1222,1326,871,15,6,3,1,0,0,0
1930,0,1.6,0,8,0,24,0.6,190,2,8,1605,1325,2252,9,7,3,0,0,0,1
685,1,1.9,1,5,0,48,0.4,113,3,15,1499,517,3735,15,4,10,0,0,1,2
1434,1,1.4,1,8,1,32,0.8,175,1,0,977,1359,3793,15,6,9,1,1,1,3
1450,1,1.7,0,15,0,10,0.7,114,1,19,1356,1128,1577,10,8,14,1,0,0,0
1103,1,0.8,1,0,1,49,0.2,128,1,2,1591,1868,1612,8,10,2,1,0,0,1
1853,1,1.2,1,7,1,23,0.9,109,6,4,1109,587,2538,15,9,13,1,0,0,2
1214,0,0.9,1,12,1,40,0.2,125,6,3,1327,852,3415,18,5,13,1,0,0,3
1005,1,2.5,1,13,0,46,0.8,163,6,14,950,1695,1708,18,8,8,1,1,0,0
537,1,1.6,0,17,0,43,1,83,2,7,603,1129,1180,6,16,7,0,1,0,1
1265,1,1.9,1,8,0,46,0.6,122,2,12,715,929,1557,11,16,19,0,0,0,2
1384,1,0.8,1,6,1,7,0.2,172,1,1,13,1375,3119,9,10,6,1,1,0,3
608,1,2.2,1,9,0,56,0.3,109,2,14,74,1828,729,10,3,14,1,0,1,0
1036,0,2.5,1,0,0,27,0.2,114,6,4,1753,1943,1837,11,2,19,0,1,1,1
1798,0,1.2,1,13,1,58,0.5,198,2,9,1874,964,3414,5,0,6,1,0,0,2
1335,1,1.8,1,13,0,25,0.2,135,3,18,991,1227,3060,13,13,6,1,1,0,3
525,1,2.8,1,5,1,22,0.6,128,1,8,1382,1901,1896,6,6,4,1,1,0,0
1023,0,1.3,1,10,1,40,0.4,180,7,0,1590,930,2494,7,5,10,1,1,0,1
1622,0,2.1,0,4,0,4,0.6,143,5,14,1306,892,3810,14,8,5,1,0,1,2
660,0,3,0,12,0,38,0.3,134,1,14,1448,1412,3373,13,16,17,0,0,0,3
869,0,1.8,1,13,0,3,0.8,98,3,11,1774,603,388,5,14,18,1,1,1,0
1412,0,0.7,0,2,1,14,0.9,159,7,12,532,1789,2377,7,15,4,1,0,0,1
663,0,2.2,0,9,1,33,0.8,148,4,12,147,899,2935,9,14,16,1,1,0,2
1559,0,1.5,1,14,0,63,0.8,142,6,5,1559,1577,3900,13,10,8,1,0,1,3
1898,1,2,1,5,0,29,0.9,195,6,14,1780,671,836,5,1,15,1,1,0,0
1382,0,0.8,0,8,1,29,1,93,6,16,1631,1457,1559,17,11,2,1,0,1,1
1879,0,1.8,1,15,0,47,0.4,112,6,3,214,1432,1287,10,2,10,0,1,0,2
1380,1,2,1,0,1,28,0.4,127,1,8,1500,654,2760,17,13,7,1,0,1,3
513,1,2,0,7,1,59,0.5,164,7,8,1435,971,956,14,8,16,1,1,0,0
1675,0,0.9,0,5,0,40,1,176,3,6,155,1291,1391,5,8,9,0,0,0,1
1689,0,1.7,0,10,1,30,0.1,85,1,0,102,871,3483,10,7,4,1,1,0,2
1103,1,3,0,3,1,5,0.2,198,4,4,239,1181,3698,5,4,7,1,1,0,3
627,0,2.9,1,0,0,17,0.4,81,7,15,1642,1052,305,13,10,19,0,1,0,0
1249,0,1.1,1,1,1,60,0.1,88,6,5,370,1996,1202,11,4,16,1,1,0,1
1851,0,1.6,0,10,1,43,0.8,84,5,13,244,1883,2915,16,13,7,1,0,0,2
1502,0,1.3,0,4,1,17,0.3,90,1,16,889,1207,3994,18,9,15,1,0,0,3
1659,1,1.4,0,4,1,19,0.9,102,2,3,1829,1112,1196,8,1,14,1,0,1,0
973,0,1.9,0,8,0,41,0.3,149,6,12,757,1309,1301,8,4,8,0,0,1,1
1645,0,1.3,1,16,1,42,0.4,123,2,17,1142,1151,1890,14,14,10,1,0,0,2
1251,0,2.8,1,2,1,22,0.1,133,5,11,844,990,2352,15,8,19,1,1,0,3
1153,1,0.5,0,18,1,13,0.3,127,2,13,1288,973,1188,5,12,18,1,1,1,0
654,0,2.1,0,7,0,45,0.7,94,7,15,458,1143,564,14,13,12,1,0,0,1
583,1,2.4,0,3,0,19,0.8,83,3,16,1059,836,3347,7,7,12,0,1,0,2
1104,0,1,1,2,0,32,0.3,167,5,17,132,1759,3219,5,17,19,0,1,1,3
1643,0,2.3,0,16,1,35,0.5,129,3,11,309,1037,1805,8,10,16,1,1,1,0
1150,0,2,0,16,1,50,0.7,132,3,8,1597,568,2798,16,1,5,1,0,1,1
1399,1,0.9,1,6,1,13,0.6,97,1,10,683,1996,2526,6,5,9,1,0,1,2
940,0,2.8,1,15,1,38,0.4,132,3,5,1120,1978,3604,11,5,14,1,1,0,3
689,1,1.2,1,6,1,42,0.1,100,4,18,679,1883,429,9,5,11,1,0,1,0
1677,0,0.5,0,15,1,2,0.1,103,4,6,175,1136,2276,13,8,15,1,0,1,1
856,1,1.9,1,13,1,54,0.1,87,1,19,1669,1848,3669,8,5,14,1,1,0,2
678,1,1.8,0,3,1,58,0.7,139,3,2,783,1801,3903,17,9,6,1,0,1,3
1535,1,1.8,1,1,0,50,0.7,190,2,15,1212,1218,793,10,2,10,0,1,1,0
1865,1,2.3,0,15,0,9,0.7,198,6,1,1509,1214,1216,17,16,17,0,1,0,1
1153,0,1,1,11,1,40,0.2,81,6,17,108,746,2240,5,7,19,1,1,0,2
590,1,2.9,1,15,1,22,0.6,122,4,8,980,1166,3275,18,1,9,1,1,0,3
1075,0,2.3,0,8,1,44,0.5,140,7,5,1450,1580,1376,5,11,3,1,1,1,0
1936,0,0.5,0,9,1,50,0.9,100,4,12,296,1290,1413,17,4,8,1,1,1,1
1558,1,2.8,1,10,0,26,0.7,91,7,8,1816,1519,1929,13,0,11,1,1,0,2
783,0,1.6,0,11,0,5,0.9,126,4,7,155,1658,3781,15,14,13,0,0,1,3
1661,1,1.2,1,7,0,48,0.2,127,2,18,1352,1535,1308,18,13,7,0,1,1,0
1220,1,1.6,1,14,1,48,0.2,185,4,9,409,1299,1981,9,10,4,1,1,0,1
1698,1,1,0,8,0,35,0.5,162,2,14,1495,1937,1390,10,1,7,0,1,1,2
604,1,0.7,1,10,1,22,0.8,157,1,1,1743,939,3268,6,7,16,1,0,0,3
1786,0,2.2,1,10,1,35,0.5,190,6,6,216,887,595,6,13,15,1,1,0,0
1244,0,1.9,1,14,0,11,0.4,160,4,10,7,745,501,7,16,9,0,0,1,1
836,1,1.6,0,15,0,7,0.7,98,2,12,1099,612,3366,11,6,18,0,1,0,2
866,1,2.8,0,9,0,22,0.7,146,1,19,847,1177,3094,11,1,7,0,0,0,3
997,0,2.8,1,15,0,39,0.7,85,3,0,563,1519,1816,5,12,3,0,1,0,0
1203,0,1.4,0,0,1,19,0.3,116,3,12,1495,1770,860,7,7,14,1,1,0,1
1121,1,2.1,0,6,1,42,0.1,104,2,4,479,1172,3565,6,16,11,1,0,0,2
1379,0,2.9,1,14,0,55,0.2,131,2,19,1597,1040,3618,16,1,9,0,0,0,3
1167,0,0.7,1,14,1,16,0.8,182,6,11,1630,1286,1002,10,12,18,1,1,0,0
615,1,2.7,1,9,0,47,0.5,181,2,6,1870,1263,1758,10,12,15,1,0,0,1
1196,1,2.6,1,15,0,6,0.1,176,3,11,1749,1104,2454,15,9,7,0,0,1,2
1915,0,1.7,0,0,1,53,0.1,165,2,13,352,1552,3591,11,0,14,1,0,1,3
693,1,0.9,0,13,1,45,0.5,88,7,19,1128,834,756,7,15,9,1,0,1,0
1739,1,1.3,0,11,0,60,0.2,145,5,19,1216,1185,1842,17,10,3,0,1,0,1
940,0,2.9,0,3,0,29,0.4,186,7,7,792,1326,1497,5,10,7,0,0,1,2
1340,1,0.7,0,13,1,28,0.6,96,5,15,1749,1706,2732,6,11,4,1,1,1,3
597,0,1.2,1,5,0,58,0.4,196,5,16,1156,864,1812,17,10,11,1,0,0,0
851,1,0.9,0,1,1,5,0.2,98,1,13,140,1331,2563,8,9,4,1,0,0,1
1655,0,2.7,0,2,0,13,0.3,122,4,7,193,1876,3219,16,15,12,0,1,0,2
650,1,1.9,0,16,0,20,0.5,129,6,17,1360,1674,3448,5,10,5,0,0,0,3
1234,0,1.3,0,17,0,25,0.4,166,3,15,1138,867,543,12,1,7,1,0,0,0
1691,1,2.7,1,6,0,37,0.4,95,2,14,1454,679,1110,5,4,9,1,1,1,1
501,1,0.8,0,3,0,52,0.2,109,5,16,1416,1622,1919,18,11,14,0,0,0,2
1796,0,2.9,0,11,1,25,0.4,186,2,15,743,1649,3431,13,12,9,1,0,0,3
1587,0,1.5,1,18,1,26,0.2,199,2,9,1194,946,1199,6,15,15,1,1,1,0
536,1,1.7,1,3,0,14,0.3,84,3,2,1139,751,2399,12,6,17,1,0,0,1
535,0,1.8,0,13,0,59,0.2,196,5,7,1738,1270,1493,12,3,13,1,1,1,2
1832,1,0.8,1,15,1,6,0.8,88,5,8,1543,1549,3550,18,4,6,1,0,0,3
1801,1,0.6,1,16,0,12,0.9,115,5,10,1047,1789,1644,7,12,9,1,1,0,0
1050,0,1.8,0,15,1,31,0.9,189,5,17,209,1682,2572,13,10,9,1,0,1,1
1644,1,1.9,1,13,0,19,0.3,132,2,11,1879,1458,1279,17,5,17,1,1,0,2
1614,0,1.4,1,14,1,5,0.6,100,7,7,874,1017,3184,13,6,6,1,0,0,3
899,0,2.6,1,2,0,24,0.7,163,6,16,418,1121,965,16,11,2,0,0,0,0
1814,1,1.9,1,6,0,33,0.6,175,1,18,80,683,2520,8,0,3,0,0,1,1
1930,1,2.1,0,9,0,37,0.9,182,7,15,283,630,3075,6,7,4,0,0,1,2
1107,1,0.5,0,11,1,49,0.6,155,2,10,1584,1030,2584,12,4,12,1,0,1,3
1059,0,0.9,1,6,1,22,0.9,154,1,12,655,1350,1824,8,16,12,1,0,1,0
1364,0,1,0,13,0,54,0.3,198,7,13,635,1104,1388,13,2,2,0,0,1,1
649,1,2.5,1,15,0,42,0.6,191,5,12,888,1237,3751,10,4,12,1,0,0,2
1504,0,1.4,1,7,1,14,0.6,152,5,8,1902,1312,2310,15,16,19,1,0,0,3
1174,1,1.9,0,11,1,13,1,81,6,10,1554,848,1321,18,16,11,1,0,0,0
830,0,0.9,1,17,1,4,0.3,132,3,3,948,834,1569,12,15,5,1,0,1,1
1862,1,1.9,1,16,1,24,0.2,122,6,6,106,612,1693,7,0,12,1,1,0,2
1161,1,1.5,1,15,0,46,0.2,142,6,19,1867,775,2866,16,13,4,1,0,0,3
929,1,3,0,0,0,63,1,147,1,4,952,1370,399,15,15,4,1,0,1,0
995,0,2,1,3,1,26,0.1,133,2,18,506,659,1605,5,0,10,1,0,0,1
1166,0,1.6,0,7,0,11,0.3,184,2,3,265,937,3557,10,15,19,1,1,0,2
1454,0,1.9,1,7,0,16,0.1,174,3,6,595,1284,2671,15,8,19,1,0,1,3
1699,0,1.9,0,0,0,53,0.9,119,5,12,1003,1202,1408,12,12,11,0,0,0,0
1168,0,2.4,0,9,0,8,0.3,124,5,0,1652,1376,2132,7,3,15,0,1,0,1
1472,0,1.9,1,15,0,39,0.2,150,1,3,1174,632,3106,6,7,18,1,1,0,2
712,0,2.9,1,6,1,11,0.2,175,4,2,911,1765,3591,12,4,12,1,0,0,3
1321,0,2.2,1,5,0,41,0.3,194,1,5,486,1169,1899,12,6,4,0,0,0,0
